nom_dispo,xCoord,yCoord,an,secheresseEte,tIntervalVeg6,pred
adeblois,1.279536,47.576223,1961,0,12.827308161,12.684564395
adeblois,1.279536,47.576223,1966,0,13.184129046,12.772419308
adeblois,1.279536,47.576223,1973,1,12.994416414,12.895416187
adeblois,1.279536,47.576223,1976,0,13.105879749,12.948129135
adeblois,1.279536,47.576223,1983,1,13.32044743,13.071126013
adeblois,1.279536,47.576223,1993,0,13.167112679,13.24683584
adeblois,1.279536,47.576223,2001,1,14.053150706,13.387403701
adeblois,1.279536,47.576223,2006,0,13.369480124,13.475258614
bb,2.716651,46.63692,1959,1,13.053904479,12.649422429
bb,2.716651,46.63692,1963,0,13.139162623,12.71970636
bb,2.716651,46.63692,1971,1,12.789441874,12.860274221
bb,2.716651,46.63692,1993,0,13.390787593,13.24683584
bb,2.716651,46.63692,1998,1,13.968682263,13.334690753
bb,2.716651,46.63692,2003,0,14.261664696,13.422545666
butir,6.350215,48.71208,1959,1,13.168273143,12.649422429
butir,6.350215,48.71208,1968,0,13.255949683,12.807561273
butir,6.350215,48.71208,1976,0,13.236480434,12.948129135
butir,6.350215,48.71208,1982,0,13.596082874,13.053555031
butir,6.350215,48.71208,1984,1,13.426663363,13.088696996
butir,6.350215,48.71208,1991,0,13.460575342,13.211693874
butir,6.350215,48.71208,1993,0,13.772561463,13.24683584
butir,6.350215,48.71208,1999,0,13.779123554,13.352261736
butir,6.350215,48.71208,2002,1,14.245446293,13.404974684
butir,6.350215,48.71208,2007,0,13.998459101,13.492829597
cc,1.26941,49.701741,1959,1,12.186544437,12.649422429
cc,1.26941,49.701741,1964,0,12.25757636,12.737277343
cc,1.26941,49.701741,1971,1,11.798857312,12.860274221
cc,1.26941,49.701741,1977,0,11.385857832,12.965700117
cc,1.26941,49.701741,1994,0,12.330437449,13.264406822
cc,1.26941,49.701741,1999,1,12.099610312,13.352261736
cc,1.26941,49.701741,2004,0,12.331925739,13.440116649
charlemagne,6.10911,48.638997,1966,1,13.052781075,12.772419308
charlemagne,6.10911,48.638997,1976,0,12.791836037,12.948129135
charlemagne,6.10911,48.638997,1980,1,13.076642926,13.018413065
charlemagne,6.10911,48.638997,1989,0,13.16667178,13.176551909
charlemagne,6.10911,48.638997,1997,0,13.541284115,13.31711977
charlemagne,6.10911,48.638997,2000,1,13.721250726,13.369832718
charlemagne,6.10911,48.638997,2006,0,14.02432637,13.475258614
chatellier,0.515147,48.386206,1960,1,12.69161201,12.666993412
chatellier,0.515147,48.386206,1965,0,12.872842295,12.754848325
chatellier,0.515147,48.386206,1997,0,12.912023081,13.31711977
chatellier,0.515147,48.386206,2000,1,12.997145948,13.369832718
chatellier,0.515147,48.386206,2005,0,13.12085911,13.457687632
chavigny,6.122662,48.636765,1966,1,13.052781075,12.772419308
chavigny,6.122662,48.636765,1976,0,12.791836037,12.948129135
chavigny,6.122662,48.636765,1980,0,12.87281372,13.018413065
chavigny,6.122662,48.636765,1986,1,13.474301256,13.123838961
chavigny,6.122662,48.636765,1989,0,13.181498706,13.176551909
chavigny,6.122662,48.636765,1995,0,13.599349011,13.281977805
chretiennet,3.102429,49.216069,1968,1,12.699726239,12.807561273
clefosses,2.738023,46.612735,1959,1,12.990854368,12.649422429
clefosses,2.738023,46.612735,1963,0,13.183782847,12.71970636
clefosses,2.738023,46.612735,1971,1,12.601102075,12.860274221
clefosses,2.738023,46.612735,1993,0,13.575729566,13.24683584
clefosses,2.738023,46.612735,1998,1,13.632346215,13.334690753
clefosses,2.738023,46.612735,2003,0,14.223118038,13.422545666
coteauxhetr,1.298189,49.702889,1963,0,12.226303819,12.71970636
ducellier,0.54829,48.392198,1965,0,12.73918438,12.754848325
ducellier,0.54829,48.392198,1973,1,12.558845781,12.895416187
ducellier,0.54829,48.392198,1993,0,12.972604907,13.24683584
ducellier,0.54829,48.392198,1998,0,12.814269084,13.334690753
ducellier,0.54829,48.392198,2000,1,12.997145948,13.369832718
ducellier,0.54829,48.392198,2005,0,13.12085911,13.457687632
epiceas,6.104444,48.636446,1966,1,13.052781075,12.772419308
epiceas,6.104444,48.636446,1976,0,12.791836037,12.948129135
epiceas,6.104444,48.636446,1980,0,12.965767634,13.018413065
epiceas,6.104444,48.636446,1987,1,13.558421048,13.141409944
epiceas,6.104444,48.636446,1989,0,13.181730581,13.176551909
epiceas,6.104444,48.636446,1996,0,13.429207198,13.299548788
epiceas,6.104444,48.636446,1999,1,13.692164964,13.352261736
epiceas,6.104444,48.636446,2006,0,14.02432637,13.475258614
faite,3.117818,49.281109,1961,0,13.041224011,12.684564395
faite,3.117818,49.281109,1968,1,12.699726239,12.807561273
faite,3.117818,49.281109,1994,0,13.201347332,13.264406822
faite,3.117818,49.281109,1999,1,13.497944607,13.352261736
faite,3.117818,49.281109,2006,0,13.260605545,13.475258614
gb,6.346077,48.72014,1959,1,13.07962924,12.649422429
gb,6.346077,48.72014,1968,0,13.230998593,12.807561273
gb,6.346077,48.72014,1976,0,13.657293693,12.948129135
gb,6.346077,48.72014,1984,1,13.894470859,13.088696996
gb,6.346077,48.72014,1991,0,13.473114158,13.211693874
gb,6.346077,48.72014,1994,0,13.686285416,13.264406822
gb,6.346077,48.72014,1999,0,13.344525732,13.352261736
gb,6.346077,48.72014,2002,1,13.9331516,13.404974684
gb,6.346077,48.72014,2007,0,13.532424279,13.492829597
grandpierri,6.117237,48.636849,1966,1,13.052781075,12.772419308
grandpierri,6.117237,48.636849,1976,0,12.791836037,12.948129135
grandpierri,6.117237,48.636849,1980,1,13.076642926,13.018413065
grandpierri,6.117237,48.636849,1989,0,13.16667178,13.176551909
grandpierri,6.117237,48.636849,1997,0,13.541284115,13.31711977
hallet,0.567173,48.404803,1965,0,12.632997579,12.754848325
hallet,0.567173,48.404803,1972,1,12.198328592,12.877845204
hallet,0.567173,48.404803,1978,0,12.671329986,12.9832711
hallet,0.567173,48.404803,1988,1,12.687359738,13.158980926
hallet,0.567173,48.404803,1995,0,13.089056639,13.281977805
hallet,0.567173,48.404803,1995,0,13.36814496,13.281977805
hallet,0.567173,48.404803,1998,0,12.814269084,13.334690753
hallet,0.567173,48.404803,2000,1,12.997145948,13.369832718
hallet,0.567173,48.404803,2005,0,13.12085911,13.457687632
hermousset,0.568355,48.397807,1965,0,12.73918438,12.754848325
hermousset,0.568355,48.397807,1973,1,12.45315327,12.895416187
hermousset,0.568355,48.397807,2000,1,12.997145948,13.369832718
hermousset,0.568355,48.397807,2005,0,13.12085911,13.457687632
mardescord,1.263985,47.562947,1961,0,12.841936783,12.684564395
mardescord,1.263985,47.562947,1966,0,13.190407363,12.772419308
mardescord,1.263985,47.562947,1973,1,12.893552848,12.895416187
mardescord,1.263985,47.562947,1989,0,13.212915268,13.176551909
mardescord,1.263985,47.562947,1998,0,13.875401034,13.334690753
mardescord,1.263985,47.562947,2001,1,14.096847711,13.387403701
mardescord,1.263985,47.562947,2006,0,13.39678561,13.475258614
mortefert,3.120216,49.204183,1961,0,12.947891816,12.684564395
pauverts,1.261664,47.572551,1966,0,13.190407363,12.772419308
pauverts,1.261664,47.572551,1973,1,12.893552848,12.895416187
pauverts,1.261664,47.572551,2001,1,14.096847711,13.387403701
pauverts,1.261664,47.572551,2006,0,13.39678561,13.475258614
planto,2.735896,46.643062,1982,1,13.716778954,13.053555031
planto,2.735896,46.643062,1992,0,13.374049075,13.229264857
planto,2.735896,46.643062,1998,1,13.968682263,13.334690753
planto,2.735896,46.643062,2003,0,14.261664696,13.422545666
puiseux,3.129425,49.285705,1968,1,12.699726239,12.807561273
puiseux,3.129425,49.285705,1994,0,13.201347332,13.264406822
puiseux,3.129425,49.285705,1999,1,13.497944607,13.352261736
reno,0.685563,48.526383,1991,0,12.432024772,13.211693874
reno,0.685563,48.526383,1993,0,12.452324118,13.24683584
reno,0.685563,48.526383,1995,0,13.09224225,13.281977805
reno,0.685563,48.526383,2000,1,12.786680895,13.369832718
reno,0.685563,48.526383,2004,0,13.184611088,13.440116649
richebourg,2.710052,46.683995,1959,1,13.053904479,12.649422429
richebourg,2.710052,46.683995,1963,0,13.139162623,12.71970636
richebourg,2.710052,46.683995,1995,1,13.707475065,13.281977805
sablo,1.257627,47.568466,1966,0,13.190407363,12.772419308
sablo,1.257627,47.568466,1973,1,12.893552848,12.895416187
sablo,1.257627,47.568466,1976,0,12.929183371,12.948129135
sablo,1.257627,47.568466,1981,1,13.314637672,13.035984048
sablo,1.257627,47.568466,1991,0,13.246577189,13.211693874
sablo,1.257627,47.568466,2001,1,14.096847711,13.387403701
sablo,1.257627,47.568466,2006,0,13.39678561,13.475258614
sablorouges,0.56821,48.394117,1994,0,13.170610006,13.264406822
sablorouges,0.56821,48.394117,1998,0,12.814269084,13.334690753
sablorouges,0.56821,48.394117,2000,1,12.997145948,13.369832718
sablorouges,0.56821,48.394117,2005,0,13.12085911,13.457687632
stemarie,6.1073,48.043994,1962,0,12.48267898,12.702135377
tresor,2.724191,46.668473,1959,1,13.053904479,12.649422429
tresor,2.724191,46.668473,1963,0,13.139162623,12.71970636
tresor,2.724191,46.668473,1982,1,13.716778954,13.053555031
tresor,2.724191,46.668473,1992,0,13.374049075,13.229264857
tresor,2.724191,46.668473,1998,1,13.968682263,13.334690753
tresor,2.724191,46.668473,2003,0,14.261664696,13.422545666
