"count_speciesBeech","count_speciesHornbeam","count_speciesOak","count_speciesOthers","count_speciesBeech:G","count_speciesHornbeam:G","count_speciesOak:G","count_speciesOthers:G","count_speciesBeech:G_thisSpecies","count_speciesHornbeam:G_thisSpecies","count_speciesOak:G_thisSpecies","count_speciesOthers:G_thisSpecies","zero_speciesBeech","zero_speciesHornbeam","zero_speciesOak","zero_speciesOthers","zero_speciesBeech:G","zero_speciesHornbeam:G","zero_speciesOak:G","zero_speciesOthers:G","zero_speciesBeech:logG","zero_speciesHornbeam:logG","zero_speciesOak:logG","zero_speciesOthers:logG","zero_speciesBeech:G_thisSpecies","zero_speciesHornbeam:G_thisSpecies","zero_speciesOak:G_thisSpecies","zero_speciesOthers:G_thisSpecies","zero_speciesBeech:logG_thisSpecies","zero_speciesHornbeam:logG_thisSpecies","zero_speciesOak:logG_thisSpecies","zero_speciesOthers:logG_thisSpecies"
0.0218310808685677,0.00806951304827208,0.00715693678311884,0.00794272572833379,-0.000577384115789827,2.193723134693e-05,5.75615628015732e-05,2.92173773192267e-05,-7.76372875780118e-05,-2.66378219614651e-05,3.17686850824226e-05,-3.81329164375438e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00806951304827208,0.0183312951652901,0.00710066980776946,0.0078802809749,2.0266074480978e-05,-0.00042378543426548,5.71090207247915e-05,2.89876738162878e-05,-8.35583024484227e-06,-2.47055514508014e-05,3.15189235050071e-05,-3.78331200394182e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00715693678311884,0.00710066980776946,0.0145454404049805,0.00698910484848277,1.79741965884045e-05,1.93033997664276e-05,-0.000431173819640842,2.57094756216132e-05,-7.41087454411068e-06,-2.34396272755288e-05,-5.83854473666293e-05,-3.35545957743067e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00794272572833379,0.0078802809749,0.00698910484848277,0.012194903564294,1.9947656101363e-05,2.14227978554678e-05,5.62117299417315e-05,-0.000184137137265859,-8.22454433994746e-06,-2.60131584595003e-05,3.10237015734439e-05,-2.83687355880344e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000577384115789827,2.02660744809779e-05,1.79741965884044e-05,1.99476561013629e-05,9.57907325146951e-05,5.50939767646234e-08,1.44562244586489e-07,7.33776054822878e-08,-0.000111550652763825,-6.68992144448764e-08,7.97850544626075e-08,-9.57684212265633e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.19372313469301e-05,-0.00042378543426548,1.93033997664276e-05,2.14227978554679e-05,5.50939767646238e-08,3.20963399813851e-05,1.55252713781117e-07,7.88039257032268e-08,-2.27155938753988e-08,-3.11987125788224e-05,8.56852095782398e-08,-1.02850556398643e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7561562801573e-05,5.71090207247913e-05,-0.000431173819640843,5.62117299417313e-05,1.44562244586489e-07,1.55252713781116e-07,0.000237874879673777,2.0677527836764e-07,-5.96039246136125e-08,-1.88519420857292e-07,-0.000246512586452235,-2.69871738492912e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.92173773192267e-05,2.89876738162879e-05,2.57094756216133e-05,-0.000184137137265859,7.33776054822884e-08,7.88039257032269e-08,2.06775278367641e-07,2.30235852042937e-05,-3.0254049236743e-08,-9.56896022815955e-08,1.14120923435254e-07,-2.45687439600255e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.76372875780119e-05,-8.35583024484231e-06,-7.41087454411071e-06,-8.2245443399475e-06,-0.000111550652763825,-2.27155938753989e-08,-5.9603924613613e-08,-3.0254049236743e-08,0.000312039640523804,2.75829677789537e-08,-3.28958808372482e-08,3.94859236966103e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.66378219614652e-05,-2.47055514508016e-05,-2.34396272755289e-05,-2.60131584595004e-05,-6.68992144448769e-08,-3.11987125788224e-05,-1.88519420857293e-07,-9.56896022815955e-08,2.75829677789536e-08,0.000135790136941036,-1.04045370237452e-07,1.24888814210736e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.17686850824228e-05,3.15189235050072e-05,-5.83854473666282e-05,3.1023701573444e-05,7.97850544626081e-08,8.56852095782399e-08,-0.000246512586452235,1.14120923435254e-07,-3.28958808372482e-08,-1.04045370237452e-07,0.000368158615537711,-1.48944362445159e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.81329164375439e-05,-3.78331200394184e-05,-3.35545957743068e-05,-2.83687355880348e-06,-9.57684212265642e-08,-1.02850556398643e-07,-2.69871738492914e-07,-2.45687439600255e-05,3.94859236966103e-08,1.24888814210737e-07,-1.48944362445159e-07,6.38829887403103e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0144861453994408,0,0,0,0.000448400940341421,0,0,0,-0.00843543952068322,0,0,0,-7.18990475167476e-05,0,0,0,0.000860562068269595,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229443904729487,0,0,0,0.00063500747678807,0,0,0,-0.0122374308976173,0,0,0,6.15234523718875e-06,0,0,0,0.00018334328153406,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101066737698192,0,0,0,0.000597887272574575,0,0,0,-0.00830528257886197,0,0,0,-0.000173572484833685,0,0,0,0.00195273200820459,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00932398542195673,0,0,0,0.000305501105591027,0,0,0,-0.00525377525898973,0,0,0,-2.8461162535934e-05,0,0,0,1.18589740835182e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.000448400940341422,0,0,0,8.10804322592682e-05,0,0,0,-0.000772344568277813,0,0,0,-4.39065115556708e-05,0,0,0,0.000235246726032353,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063500747678807,0,0,0,5.01244976788107e-05,0,0,0,-0.000572506190214023,0,0,0,-2.00527221316706e-05,0,0,0,7.86904799577962e-05,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000597887272574572,0,0,0,0.000223374932138259,0,0,0,-0.00172141642300126,0,0,0,-0.000190275678293072,0,0,0,0.00112294018388315,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000305501105591027,0,0,0,3.75955135312408e-05,0,0,0,-0.000366281629642757,0,0,0,-2.55876734429628e-05,0,0,0,0.000103000998166926
0,0,0,0,0,0,0,0,0,0,0,0,-0.00843543952068321,0,0,0,-0.000772344568277813,0,0,0,0.010053034302181,0,0,0,0.000554410894509184,0,0,0,-0.00467015366800567,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122374308976173,0,0,0,-0.000572506190214023,0,0,0,0.00856820629320883,0,0,0,0.000249626522688921,0,0,0,-0.00159002581125315,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00830528257886193,0,0,0,-0.00172141642300126,0,0,0,0.0200091997324464,0,0,0,0.00158582599788194,0,0,0,-0.0153092259347548,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00525377525898973,0,0,0,-0.000366281629642757,0,0,0,0.00467065934661272,0,0,0,0.000241956818786818,0,0,0,-0.00144931045120343
0,0,0,0,0,0,0,0,0,0,0,0,-7.18990475167435e-05,0,0,0,-4.39065115556704e-05,0,0,0,0.00055441089450918,0,0,0,0.000365803083678243,0,0,0,-0.00193670126377758,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6.15234523719435e-06,0,0,0,-2.00527221316705e-05,0,0,0,0.000249626522688918,0,0,0,0.000354108226685473,0,0,0,-0.0014797644617129,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000173572484833678,0,0,0,-0.000190275678293071,0,0,0,0.00158582599788194,0,0,0,0.000352856036416662,0,0,0,-0.00219198261942453,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84611625359351e-05,0,0,0,-2.55876734429629e-05,0,0,0,0.000241956818786819,0,0,0,0.000105032930475021,0,0,0,-0.000527672578807883
0,0,0,0,0,0,0,0,0,0,0,0,0.000860562068269596,0,0,0,0.000235246726032354,0,0,0,-0.00467015366800567,0,0,0,-0.00193670126377758,0,0,0,0.0131507437217901,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183343281534038,0,0,0,7.86904799577956e-05,0,0,0,-0.00159002581125314,0,0,0,-0.0014797644617129,0,0,0,0.00746402358598819,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195273200820452,0,0,0,0.00112294018388314,0,0,0,-0.0153092259347547,0,0,0,-0.00219198261942453,0,0,0,0.0202525497596925,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18589740835264e-05,0,0,0,0.000103000998166927,0,0,0,-0.00144931045120344,0,0,0,-0.000527672578807883,0,0,0,0.00357970018376194
